"","2015","2016","2017","2018","2019"
"1","0.82 Subtopic 21,
0.33 Subtopic 25,
0.25 Subtopic 6","0.82 Subtopic 21,
0.33 Subtopic 25,
0.24 Subtopic 6","0.83 Subtopic 21,
0.32 Subtopic 25,
0.24 Subtopic 6","0.85 Subtopic 25,
0.73 Subtopic 6,
0.57 Subtopic 14","0.94 Subtopic 25,
0.81 Subtopic 6,
0.65 Subtopic 14"
"2","0.82 Subtopic 12,
0.53 Subtopic 2,
0.37 Subtopic 24","0.95 Subtopic 12,
0.36 Subtopic 24,
0.32 Subtopic 2","0.99 Subtopic 12,
0.32 Subtopic 24,
0.31 Subtopic 4","1.29 Subtopic 12,
0.27 Subtopic 4,
0.25 Subtopic 29","1.27 Subtopic 12,
0.24 Subtopic 4,
0.23 Subtopic 29"
"3","0.98 Subtopic 21,
0.24 Subtopic 23,
0.16 Subtopic 30","0.99 Subtopic 21,
0.14 Subtopic 30,
0.09 Subtopic 4","0.99 Subtopic 21,
0.12 Subtopic 30,
0.07 Subtopic 4","1.4 Subtopic 21,
0.05 Subtopic 30,
0.04 Subtopic 4","1.38 Subtopic 21,
0.01 Subtopic 4"
"4","0.36 Subtopic 27,
0.28 Subtopic 18,
0.26 Subtopic 30","0.24 Subtopic 30,
0.09 Subtopic 27","0.22 Subtopic 30,
0.07 Subtopic 27","0.18 Subtopic 30,
0.08 Subtopic 27","0.15 Subtopic 30,
0.09 Subtopic 27,
0.01 Subtopic 4"
"5","0.9 Subtopic 16,
0.28 Subtopic 1,
0.2 Subtopic 11","0.97 Subtopic 16,
0.3 Subtopic 1,
0.21 Subtopic 4","0.97 Subtopic 16,
0.28 Subtopic 1,
0.18 Subtopic 4","1.01 Subtopic 16,
0.26 Subtopic 1,
0.14 Subtopic 4","1.04 Subtopic 16,
0.17 Subtopic 1,
0.07 Subtopic 4"
"6","0.85 Subtopic 19,
0.37 Subtopic 6,
0.28 Subtopic 7","1.01 Subtopic 19,
0.32 Subtopic 6,
0.2 Subtopic 7","0.99 Subtopic 19,
0.29 Subtopic 6,
0.16 Subtopic 7","0.96 Subtopic 19,
0.06 Subtopic 7","0.94 Subtopic 19"
"7","0.73 Subtopic 27,
0.33 Subtopic 20,
0.32 Subtopic 29","0.98 Subtopic 27,
0.48 Subtopic 20,
0.3 Subtopic 29","0.98 Subtopic 27,
0.46 Subtopic 20,
0.29 Subtopic 29","1.02 Subtopic 27,
0.37 Subtopic 20,
0.25 Subtopic 29","1.03 Subtopic 27,
0.25 Subtopic 29,
0.19 Subtopic 4"
"8","1.02 Subtopic 28,
0.33 Subtopic 5,
0.29 Subtopic 11","1.07 Subtopic 28,
0.25 Subtopic 11,
0.25 Subtopic 4","1.06 Subtopic 28,
0.22 Subtopic 11,
0.22 Subtopic 4","1.06 Subtopic 28,
0.17 Subtopic 4,
0.16 Subtopic 11","1.05 Subtopic 28,
0.14 Subtopic 4,
0.1 Subtopic 11"
"9","1.07 Subtopic 9,
0.24 Subtopic 29,
0.2 Subtopic 1","1.08 Subtopic 9,
0.22 Subtopic 29,
0.18 Subtopic 1","1.08 Subtopic 9,
0.19 Subtopic 29,
0.15 Subtopic 1","1.09 Subtopic 9,
0.16 Subtopic 29,
0.09 Subtopic 1","1.08 Subtopic 9,
0.14 Subtopic 29,
0.05 Subtopic 1"
"10","0.61 Subtopic 10,
0.52 Subtopic 8,
0.24 Subtopic 23","0.63 Subtopic 8,
0.62 Subtopic 5,
0.51 Subtopic 23","0.78 Subtopic 8,
0.61 Subtopic 23,
0.51 Subtopic 5","0.95 Subtopic 8,
0.7 Subtopic 23,
0.28 Subtopic 5","0.95 Subtopic 8,
0.67 Subtopic 23,
0.15 Subtopic 5"
"11","0.96 Subtopic 22,
0.25 Subtopic 14,
0.25 Subtopic 17","1 Subtopic 22,
0.24 Subtopic 14,
0.19 Subtopic 7","1.01 Subtopic 22,
0.2 Subtopic 14,
0.16 Subtopic 7","1 Subtopic 22,
0.05 Subtopic 7,
0 Subtopic 30","1 Subtopic 22"
"12","0.5 Subtopic 18,
0.33 Subtopic 17,
0.32 Subtopic 29","1.04 Subtopic 18,
0.51 Subtopic 17,
0.31 Subtopic 29","1.01 Subtopic 18,
0.51 Subtopic 17,
0.29 Subtopic 29","0.92 Subtopic 18,
0.71 Subtopic 17,
0.23 Subtopic 29","0.82 Subtopic 18,
0.68 Subtopic 17,
0.2 Subtopic 29"
"13","0.73 Subtopic 10,
0.51 Subtopic 8,
0.24 Subtopic 29","1.13 Subtopic 10,
0.42 Subtopic 8,
0.26 Subtopic 29","1.3 Subtopic 10,
0.24 Subtopic 29,
0.2 Subtopic 30","1.32 Subtopic 10,
0.2 Subtopic 29,
0.13 Subtopic 30","1.31 Subtopic 10,
0.18 Subtopic 29,
0.07 Subtopic 30"
"14","0.94 Subtopic 13,
0.66 Subtopic 26,
0.41 Subtopic 15","0.91 Subtopic 13,
0.7 Subtopic 26,
0.4 Subtopic 15","0.92 Subtopic 13,
0.7 Subtopic 26,
0.39 Subtopic 15","0.93 Subtopic 13,
0.71 Subtopic 26,
0.36 Subtopic 15","0.92 Subtopic 13,
0.68 Subtopic 26,
0.31 Subtopic 15"
"15","0.84 Subtopic 3,
0.46 Subtopic 24,
0.35 Subtopic 17","0.85 Subtopic 3,
0.45 Subtopic 24,
0.2 Subtopic 7","0.94 Subtopic 3,
0.44 Subtopic 24,
0.16 Subtopic 7","1.01 Subtopic 3,
0.26 Subtopic 24","1 Subtopic 3,
0.18 Subtopic 24"
